snapshot_class::class_with_method: blockpy=11, clif=11
snapshot_class::class_method_named_open_calls_builtin: blockpy=4, clif=4
snapshot_class::class_with_base: blockpy=3, clif=3
snapshot_class::class_scope_inner_capture: blockpy=4, clif=4
snapshot_class::class_super_empty_classcell: blockpy=4, clif=4
snapshot_class::nested classes: blockpy=5, clif=5
snapshot_class::nested classes with weird scoping: blockpy=6, clif=6
snapshot_expr::subscript: blockpy=1, clif=1
snapshot_expr::subscript_slice: blockpy=1, clif=1
snapshot_expr::binary_add: blockpy=1, clif=1
snapshot_expr::binary_bitwise_or: blockpy=1, clif=1
snapshot_expr::unary_neg: blockpy=1, clif=1
snapshot_expr::boolop_chain: blockpy=7, clif=7
snapshot_expr::compare_lt: blockpy=1, clif=1
snapshot_expr::compare_chain: blockpy=4, clif=4
snapshot_expr::compare_not_in: blockpy=1, clif=1
snapshot_expr::if_expr: blockpy=5, clif=5
snapshot_expr::named_expr: blockpy=1, clif=1
snapshot_expr::lambda_simple: blockpy=2, clif=2
snapshot_expr::generator_expr: blockpy=7, clif=15
snapshot_expr::list_literal: blockpy=1, clif=1
snapshot_expr::list_literal_splat: blockpy=1, clif=1
snapshot_expr::tuple_splat: blockpy=1, clif=1
snapshot_expr::set_literal: blockpy=1, clif=1
snapshot_expr::dict_literal: blockpy=1, clif=1
snapshot_expr::dict_literal_unpack: blockpy=1, clif=1
snapshot_expr::list_comp: blockpy=6, clif=6
snapshot_expr::set_comp: blockpy=6, clif=6
snapshot_expr::dict_comp: blockpy=6, clif=6
snapshot_expr::attribute_non_chain: blockpy=1, clif=1
snapshot_expr::fstring_simple: blockpy=1, clif=1
snapshot_expr::tstring_simple: blockpy=1, clif=1
snapshot_expr::complex_literal: ERROR snapshot regeneration failed | panic: complex literal reached late core BlockPy boundary
snapshot_expr::float_literal_long: blockpy=1, clif=1
snapshot_stmt::import_simple: blockpy=1, clif=1
snapshot_stmt::import_dotted_alias: blockpy=1, clif=1
snapshot_stmt::import_from_alias: blockpy=1, clif=1
snapshot_stmt::decorator_function: blockpy=2, clif=2
snapshot_stmt::assign_attr: blockpy=1, clif=1
snapshot_stmt::assign_subscript: blockpy=1, clif=1
snapshot_stmt::assign_tuple_unpack: blockpy=1, clif=1
snapshot_stmt::assign_star_unpack: blockpy=1, clif=1
snapshot_stmt::assign_multi_targets: blockpy=1, clif=1
snapshot_stmt::ann_assign_simple: blockpy=8, clif=8
snapshot_stmt::ann_assign_attr: blockpy=1, clif=1
snapshot_stmt::aug_assign_attr: blockpy=1, clif=1
snapshot_stmt::delete_mixed: blockpy=1, clif=1
snapshot_stmt::assert_no_msg: blockpy=7, clif=7
snapshot_stmt::assert_with_msg: blockpy=7, clif=7
snapshot_stmt::raise_from: blockpy=1, clif=1
snapshot_stmt::try_except_typed: ERROR snapshot regeneration failed | panic: py_stmt template must produce exactly one statement, got 2
snapshot_stmt::for_else: blockpy=5, clif=5
snapshot_stmt::while_else: blockpy=3, clif=3
snapshot_stmt::with_as: blockpy=15, clif=16
snapshot_stmt::function_local_ann_assign: blockpy=2, clif=2
snapshot_stmt::comprehension_global: blockpy=16, clif=16
snapshot_stmt::comprehension_in_function: blockpy=9, clif=9
snapshot_stmt::comprehension_in_class_body: blockpy=8, clif=8
snapshot_stmt::with_multi: blockpy=28, clif=32
snapshot_stmt::async_for: blockpy=6, clif=28
snapshot_stmt::async_with: blockpy=20, clif=113
snapshot_stmt::match_simple: blockpy=4, clif=4
snapshot_stmt::generator_yield: blockpy=2, clif=9
snapshot_stmt::yield_from: blockpy=2, clif=24
snapshot_stmt::with_exit_suppresses_exception: blockpy=15, clif=16
snapshot_stmt::closure_cell_simple: blockpy=3, clif=3
snapshot_stmt::bb_if_else_function: blockpy=5, clif=5
snapshot_stmt::closure_cell_nonlocal: blockpy=3, clif=3
snapshot_stmt::plain try / catch: blockpy=5, clif=5
snapshot_stmt::complicated generator: blockpy=10, clif=20
